父母之年，不可不知也。一则以喜，一则以惧。	谁知宝玉昨儿见了他，也就留心，想着指名唤他来使用，一则怕袭人等多心，二则又不知他是怎么个情性，因而纳闷。	12, 12	26, 26	t
言必出乎正，动必由乎礼。趋舍取予，咸则乎古之君子。	怕则怕，追锋征起。	18, 18	1, 1	f
某所，而立于兹	汝姊在吾怀，呱呱而泣	3, 3	8, 8	f
今在提纲所，应难扫石眠。	名见于六朝永昌二年置牺所，又有钱所，天监中有刻漏所。	4, 4	11, 11	t
今殷其沦丧。	若方勤于朴斮，而遽易于工师，人其谓何？	2, 2	15, 15	t
历告尔百姓于朕志。	楚自克庸以来，其君无日不讨国人而训之于民生之不易、祸至之无日、戒惧之不可以怠。	5, 5	18, 18	t
不以其人布衣	不用有之以为利	1, 1	4, 4	f
故其在大谴大何之域者，闻谴何则白冠牦缨，盘水加剑，造请室而罪耳。	﹝王琚﹞过谢东宫，至廷中，徐行高视，侍卫何止曰：‘太子在！’。	6, 6	20, 20	t
法度量则，不壹歉疑者，皆明壹之。	铜则，重一百斤。黄字号。	3, 3	1, 1	t
舒而脱脱兮，无感我帨兮，无使尨也吠。	铤而走险，急何能择？	1, 1	1, 1	t
若二十年外书	若望仆不相师	0, 0	0, 0	f
复睹东都辉，重见汉朝则。	今其室十无四五焉，非死则徙尔。	10, 10	11, 11	f
子墨子解带为城，以牒为械。	既云血化，安有鬼为？	5, 5	8, 8	f
礼之用，和为贵；先王之道，斯为美。	予欲宣力四方，女为。	5, 5	8, 8	f
所欲，与之聚之；所恶，勿施。	陈涉少时，尝与人佣耕。	3, 3	6, 6	t
我生之初尚无为，我生之后逢此百罹。	长为南山固，永与朝日明。	6, 6	1, 1	f
出涕沱若，戚嗟若。	山群披风方穆若，花时分袂更凄然。	3, 3	6, 6	t
故物舍其所长，之其所短，尧亦有所不及矣。	则犹舍重而之轻也。	7, 7	5, 5	t
君子见几而作，不俟终日。	为我吊望诸君之墓，而观于其市，复有昔时屠狗者乎！	4, 4	9, 9	t
齐侯将为臧纥田。	意再拜曰：‘某，微品也。而公为之名字，荣逾万金之赐。’	3, 3	14, 14	t
嗟我妇子，曰为改岁，入此室处。	荒政之施，莫此为大。	6, 6	7, 7	f
君若谨行，常在朕躬。	上天之意：视斯民之困苦，若不得不雨；视士大夫之骄奢，若不可雨，其徘徊于两歧之间乎？	1, 1	12, 12	f
景王问于苌弘曰：‘今兹诸侯何实吉？何实凶？’	夫何密近，不为大利变，而务与君至义者也？	13, 13	1, 1	t
所欲，与之聚之；所恶，勿施。	汉军士马死者十余万，兵甲转漕之费不与焉。	3, 3	17, 17	f
屠耆单于使日逐王先贤掸兄右奥鞬王为乌藉都尉各二万骑，屯东方以备呼韩邪单于。	吾为祐之合，乃天也，非媒氏之力也。	16, 16	1, 1	t
郑兴从博士金子严为《左氏春秋》。	家本秦也，能为秦声。妇，赵女也，雅善鼓瑟。	8, 8	6, 6	f
然五人之当刑也	然五人之当刑也	6, 6	6, 6	f
皆以乾道乙酉至官下	不敢兴兵以拒大王	1, 1	4, 4	f
以顺为正者	以君之力	0, 0	0, 0	f
道得于此，则穷达一也，为寒暑风雨之序矣。	昔如水上鸥，今为罝中兔。	11, 11	7, 7	t
得妾以其子，无咎。	路旁多行人，一南一以北。南北遂分手，去去焉所极。	2, 2	9, 9	f
神秀以神龙二年卒，士庶皆来送葬。	柔石，原名平复，姓赵，以一九零一年生于浙江省台州宁海县的市门头。	2, 2	11, 11	t
昔谏大夫郑昌有言：‘山有猛兽者，藜藿为之不采。’	马之千里者，一食或尽粟一石。	14, 14	4, 4	t
哀平间辟大司空府	连辟公府不就	7, 7	3, 3	t
仆自少至今，从事于往还朋友间一十七年矣，日月不为不久。	井渫不食，为我心恻。	23, 23	5, 5	f
咨臣以当世之事	又间令吴广之次所旁丛祠中	5, 5	5, 5	f
以悉敷遗于子	以手阖门	0, 0	0, 0	t
偶为王所侮	友陈眉公所藏	3, 3	4, 4	f
顷之，又领益州牧。	晋侯赏从亡者，介之推不言禄。	1, 1	8, 8	t
所以遣将守关者	仆所以留者，待吾客与倶	6, 6	4, 4	t
然则诗可无师承乎	然郑亡，子亦有不利焉	0, 0	0, 0	f
意北亦尚可以口舌动也	挟匕首以备不测	5, 5	3, 3	f
吾自为计	自三峡七百里中	1, 1	0, 0	f
然后是非乃定	乃喟然而叹曰	0, 0	2, 2	f
嗟尔朋友，予岂不知而作。	若归，试私从容问而父。	9, 9	8, 8	t
凡与客入者，每门让于客。客至于寝门，则主人请入为席，然后出迎客。	﹝公孙度﹞越海收东莱诸县，为营州刺史。	23, 23	13, 13	t
顷之，又领益州牧。	久之，闻左公被炮烙，旦夕且死，持五十金涕泣谋于禁卒。	1, 1	1, 1	t
